Title,Price,Subscribers,Reviews,% of Subscribers who Left Reviews,Length (Hrs)
Complete JQuery And JQuery UI Course For Beginner,80,7169,277,3.8638582786999582,1
Learn JavaScript for Web Development,75,12893,220,1.706352284185217,8.5
"Complete AJAX Using Bootstrap, PHP From Basic To Advanced.",195,4708,111,2.3576890399320307,2.5
Complete Wordpress Theme Development Course,150,1050,223,21.23809523809524,6.5
How to Optimise Your WordPress Website's Speed & Security to Improve SEO & User Experience,125,7852,46,0.5858380030565461,3.5
Build A Web App With Spring Framework and Angular 2,145,1683,340,20.2020202020202,8
Projects in Laravel: Learn Laravel Building 10 Projects,50,119,6,5.042016806722689,10.5
Javascript Intermediate level 3 - JSON,100,1735,76,4.380403458213256,2.5
Develop Your First App in an Hour,20,3699,201,5.43390105433901,1
PHP: Ultimate guide to PHP for everyone,115,10103,75,0.7423537563100069,1.5
JavaScript DOM Dynamic Web interactive content Boot Camp,75,7380,43,0.5826558265582655,2.5
"Master JavaScript Programming, 3 Projects Included !!",20,3903,53,1.357929797591596,10.5
HTML CSS Learn to create a website from scratch,50,4892,49,1.0016353229762878,2
Complete Codeigniter: From Beginner to Advanced,200,2786,31,1.1127063890882987,3
HTML 5: How I made websites in HTML5,135,15064,237,1.573287307488051,1.5
"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap",95,22623,783,3.4610794324360166,8
Complete React JS web developer with ES6 - Build 10 projects,200,952,121,12.710084033613445,12
Complete WordPress Theme Developer Course With Bootstrap,150,3415,312,9.136163982430453,25
The Complete Ethical Hacking Course 2.0: Python & Kali Linux,195,7827,268,3.4240449725309827,11
Dynamic JavaScript Master Class AJAX JSON Simple APIs,200,9773,117,1.1971758927657834,4.5
Vue JS - Mastering Web Apps,80,13457,215,1.597681504049937,4.5
Angular NgRx Store Masterclass - Covers Angular 4,150,1399,212,15.153681200857754,8.5
JavaScript the Basics - JavaScript for Beginners,120,4028,674,16.73286991062562,9
"Complete E-Commerce Course - Java,Spring,Hibernate and MySQL",195,1371,165,12.035010940919037,20
"Learn SVG Animation - With HTML, CSS & Javascript",65,12953,680,5.249749092874238,1.5
"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4",20,5125,395,7.7073170731707314,7
Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,75,43285,525,1.212891301836664,4
CSS Development (with CSS3!),20,25864,188,0.7268790596968759,5
Angular 2 & TypeScript Beginner Web Development,200,5211,414,7.9447322970639025,19.5
The Docker for DevOps course: From development to production,25,8234,1111,13.492834588292446,7.5
"Beginner Full Stack Web Development: HTML, CSS, React & Node",200,2687,331,12.318570896911053,25.5
Learn Angular 2 Development By Building 12 Apps,50,5143,941,18.29671398016722,12
"Server API Development in Swift, Kitura, & Bluemix",200,1827,129,7.060755336617405,20.5
React VR - Creating Virtual Reality Apps,80,5026,72,1.432550736171906,3
RxJs & Reactive Programming Angular Masterclass - Angular 4,150,1301,179,13.758647194465794,7.5
"Coding for Entrepreneurs: Learn Python, Django, and More.",195,23412,799,3.4127797710575773,45
React and Flux Web Development for Beginners,100,8691,836,9.619146243240133,11
The Full Stack Web Development,60,3119,453,14.523885860852836,33
Learn Nodejs by building 12 projects,50,10150,997,9.822660098522167,16
How to Make an Online Portfolio Website from Scratch ,Free,14026,232,1.6540710109796093,1
How To Make A Web Page With No Code,Free,2214,20,0.9033423667570009,2
Spring Framework 4 And Dependency Injection For Beginners,Free,21147,1220,5.7691398307088475,1.5
Joomla 3 - The Basics,Free,19909,411,2.064392988095836,3
jQuery in Action: Build 8 jQuery Projects,100,1385,89,6.425992779783393,11
Master WordPress Plugins: Shortcodes Ultimate - The Basics,Free,10780,110,1.0204081632653061,1
ASP.NET C# - Enterprise Web Systems From Novice to Expert,20,604,8,1.3245033112582782,3.5
Wordpress - Create an Outstanding Website in 2 hours,30,1772,13,0.7336343115124153,2.5
